site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
9,France,2004,19,8.52,18.94434419,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,20,8.426866667,19.69132161,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,21,11.1192,16.20718892,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,22,13.118625,18.1202602,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,23,9.539357143,17.23681683,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,24,8.682333333,19.11742715,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,25,8.683961538,19.1794339,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,26,8.2071,18.88868251,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,27,7.654928571,18.72239524,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,28,4.169866667,24.70642547,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,29,12.5855,18.83788139,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,30,9.2067,21.54035716,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,31,7.087125,20.58656212,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,32,8.5137,21.91657784,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,33,15.34435,19.96955883,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,34,10.063275,20.90108355,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,35,10.2074,21.57889497,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,36,4.897433333,25.49360805,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,37,6.234204395,23.9827599,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,38,8.671285714,20.84535783,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,39,9.060054545,23.44002557,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,40,6.513681818,22.76655824,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,41,10.356975,17.62519597,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,42,9.866625,22.79543014,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,43,12.3087,17.46856187,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,44,12.16580357,18.34018005,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,45,6.722175,22.29377001,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,46,5.1546,24.51702363,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,47,11.2431,21.25179777,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2004,48,10.1295,22.72750383,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,1,7.770033333,17.5625,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,2,10.01972727,18.92438043,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,3,10.13893636,18.1191915,NA,NA,NA,NA,NA,NA,NA,NA
