"","SITE","Country","Location","Lat_deg","Lat_min","Lat_ns","Long_deg","Long_min","Long_ew","Year","Yearn","Nh","Plot","G1","G2","L1","L2","E","Dens","G1_yn","G2_yn","L1_yn","L2_yn","Weed_yn","Annual_yield","Mixture_type","Sowing_method","Sep_method","Carbonates","Ec","Silt","Silt_fine","Clay","Sand","Om","Soil_type","Humidity","CA","K","N-NO3","Mg","Na","P","PH","Precip_s","Air_mean_a","Air_min_a","Air_max_a","Cp_la","Ndf_ca","Adf_ca","Ivtd_ca","Ivcwd_ca","Cp_ca","Ndf_ka","Adf_ka","Cp_ka"
"34",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,34,0.1,0.1,0.1,0.7,0.64,"High",3.544250118,3.391427118,3.071817748,3.150539559,0.361802319,13.51983686,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.50439198,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,35,0.25,0.25,0.25,0.25,1,"High",4.023009232,4.24403903,7.087648828,1.096652817,0.315445845,16.76679575,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.50141296,NA,NA,NA,NA,NA,NA,NA,NA
"36",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,36,1,0,0,0,0,"High",11.40019532,0,0,0,0.461979354,11.86217468,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,9.111115259,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,37,0,1,0,0,0,"High",0,8.361694905,0,0,0.394785907,8.756480812,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,9.626134756,NA,NA,NA,NA,NA,NA,NA,NA
"38",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,38,0,0,1,0,0,"High",0,0,12.87456496,0,1.458714147,14.33327911,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,19.72329585,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,39,0,0,0,1,0,"High",0,0,0,7.030177071,1.728849379,8.759026451,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,21.0150739,NA,NA,NA,NA,NA,NA,NA,NA
"40",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,40,0.7,0.1,0.1,0.1,0.64,"Low",5.789338485,2.498859318,4.742246704,2.283624023,0.97748268,16.29155121,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.20415309,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,41,0.1,0.7,0.1,0.1,0.64,"Low",2.319935163,6.563493795,3.839091241,0.784122295,0.12289122,13.62953371,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,14.93753729,NA,NA,NA,NA,NA,NA,NA,NA
"42",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,42,0.1,0.1,0.7,0.1,0.64,"Low",3.365488969,2.144003541,9.460632717,0.288653786,0.209687082,15.46846609,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.57363809,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,43,0.1,0.1,0.1,0.7,0.64,"Low",3.759010298,2.525491851,3.997446569,3.359323715,0.627502663,14.2687751,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,16.34227921,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,44,0.25,0.25,0.25,0.25,1,"Low",4.499159801,2.256812511,7.608302928,1.14449674,0.505073872,16.01384585,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,15.8824885,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,45,1,0,0,0,0,"Low",10.08152903,0,0,0,0.497035263,10.57856429,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,9.164091695,NA,NA,NA,NA,NA,NA,NA,NA
"46",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,46,0,1,0,0,0,"Low",0,7.837521406,0,0,0.370976255,8.208497661,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,10.22359114,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,47,0,0,1,0,0,"Low",0,0,14.00056012,0,1.490411541,15.49097166,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,17.30711178,NA,NA,NA,NA,NA,NA,NA,NA
"48",1,"Belgium","Merelbeke",50,59,"N",3,49,"E",2003,1,4,48,0,0,0,1,0,"Low",0,0,0,7.38084793,1.987866916,9.368714847,"Other","Drilled","Grabbed Sample",1,0.14,27.7,6.4,9.1,56.8,1.31,"Sandy loam",0.1,661,107,7,153,36,48,6.6,616.3,10.93945205,-6.2,32.32,20.31439021,NA,NA,NA,NA,NA,NA,NA,NA
