SITE,COUNTRY,YEAR,YEARN,NH,HARVEST,HARVEST_DATE,PLOT,TREAT,REP,G1,G2,L1,L2,E,DENS,G1_Y,G2_Y,L1_Y,L2_Y,WEED_Y,HARV_YIELD
1,Belgium,2003,1,4,1,26/05/2003,48,2,1,0,0,0,1,0,Low,0,0,0,1.557764743,1.931976385,3.489741128
1,Belgium,2003,1,4,2,7/7/2003,31,2,1,0.7,0.1,0.1,0.1,0.64,High,2.498967471,0.686529525,1.173965488,0.56295421,0.048057067,4.97047376
1,Belgium,2003,1,4,2,7/7/2003,32,2,1,0.1,0.7,0.1,0.1,0.64,High,0.969401491,1.70392597,0.841286757,0.478295009,0.012811473,4.0057207
1,Belgium,2003,1,4,2,7/7/2003,33,2,1,0.1,0.1,0.7,0.1,0.64,High,0.692202595,0.218310049,3.604778131,0.165063696,0,4.680354471
1,Belgium,2003,1,4,2,7/7/2003,34,2,1,0.1,0.1,0.1,0.7,0.64,High,0.783627527,0.705264775,1.421724228,1.270596062,0,4.181212592
1,Belgium,2003,1,4,2,7/7/2003,35,2,1,0.25,0.25,0.25,0.25,1,High,1.281054088,1.001849992,1.929793017,0.509136881,0,4.721833977
1,Belgium,2003,1,4,2,7/7/2003,36,2,1,1,0,0,0,0,High,3.23165925,0,0,0,0.049717835,3.281377085
1,Belgium,2003,1,4,2,7/7/2003,37,2,1,0,1,0,0,0,High,0,2.435990099,0,0,0.011225761,2.44721586
1,Belgium,2003,1,4,2,7/7/2003,38,2,1,0,0,1,0,0,High,0,0,5.267110664,0,0.10129059,5.368401254
1,Belgium,2003,1,4,2,7/7/2003,39,2,1,0,0,0,1,0,High,0,0,0,2.520829702,0.063196288,2.58402599
1,Belgium,2003,1,4,2,7/7/2003,40,2,1,0.7,0.1,0.1,0.1,0.64,Low,2.163428495,0.362770022,1.464271725,0.850860597,0.04617073,4.887501569
1,Belgium,2003,1,4,2,7/7/2003,41,2,1,0.1,0.7,0.1,0.1,0.64,Low,0.604467175,2.018220981,1.39377142,0.189832667,0,4.206292242
1,Belgium,2003,1,4,2,7/7/2003,42,2,1,0.1,0.1,0.7,0.1,0.64,Low,1.006598886,0.88580702,3.100324568,0.073817252,0,5.066547725
1,Belgium,2003,1,4,2,7/7/2003,43,2,1,0.1,0.1,0.1,0.7,0.64,Low,1.065897946,0.866844715,1.027371514,1.502530839,0,4.462645014
1,Belgium,2003,1,4,2,7/7/2003,44,2,1,0.25,0.25,0.25,0.25,1,Low,1.182358596,0.316703196,2.718369095,0.453941247,0,4.671372133
1,Belgium,2003,1,4,2,7/7/2003,45,2,1,1,0,0,0,0,Low,2.534349135,0,0,0,0.175996468,2.710345603
1,Belgium,2003,1,4,2,7/7/2003,46,2,1,0,1,0,0,0,Low,0,2.25072679,0,0,0.054104009,2.304830799
1,Belgium,2003,1,4,2,7/7/2003,47,2,1,0,0,1,0,0,Low,0,0,5.555906525,0,0.004629922,5.560536447
1,Belgium,2003,1,4,2,7/7/2003,48,2,1,0,0,0,1,0,Low,0,0,0,2.671167328,0.037042382,2.70820971
1,Belgium,2003,1,4,3,25/08/2003,31,2,1,0.7,0.1,0.1,0.1,0.64,High,0.419412062,0.139804021,2.429094862,0.397567684,0,3.385878629
1,Belgium,2003,1,4,3,25/08/2003,32,2,1,0.1,0.7,0.1,0.1,0.64,High,0.423048091,0.155117633,2.05883404,0.415997289,0.010576202,3.063573255
1,Belgium,2003,1,4,3,25/08/2003,33,2,1,0.1,0.1,0.7,0.1,0.64,High,0.028018098,0.048031026,3.882507908,0.068043953,0,4.026600985
